service_date,time_period,station_name,route_or_line,gated_entries,stop_id,hour_of_day,day_of_week,is_weekend,month,rush_hour_flag,is_holiday,route_id,route_short_name,route_long_name,route_type,route_color,route_sort_order,route_fare_class,line_id,network_id,municipality,parent_station,is_transfer_station,n_routes_at_station,transfer_degree,is_multi_route_hub,routes_at_station,neighborhood,route_group
2024-09-30,(00:00:00),Alewife,Red Line,4.0,place-alfcl,0,0,0,9,0,0,Red,,Red Line,1.0,DA291C,10010.0,Rapid Transit,line-Red,rapid_transit,Cambridge,,1,1.0,0,0,Red Line,Cambridge,Red
2024-09-30,(00:00:00),Andrew,Red Line,4.0,place-andrw,0,0,0,9,0,0,Red,,Red Line,1.0,DA291C,10010.0,Rapid Transit,line-Red,rapid_transit,Boston,,0,1.0,0,0,Red Line,Boston,Red
2024-09-30,(00:00:00),Airport,Blue Line,46.0,place-aport,0,0,0,9,0,0,Blue,,Blue Line,1.0,003DA5,10040.0,Rapid Transit,line-Blue,rapid_transit,Boston,,1,1.0,0,0,Blue Line,Boston,Blue
2024-09-30,(00:00:00),Aquarium,Blue Line,7.0,place-aqucl,0,0,0,9,0,0,Blue,,Blue Line,1.0,003DA5,10040.0,Rapid Transit,line-Blue,rapid_transit,Boston,,0,1.0,0,0,Blue Line,Boston,Blue
2024-09-30,(00:00:00),Arlington,Green Line,7.0,place-armnl,0,0,0,9,0,0,,,,,,,,,,Boston,,1,1.0,0,0,,Boston,Green
2024-09-30,(00:00:00),Ashmont,Red Line,2.0,place-asmnl,0,0,0,9,0,0,Red,,Red Line,1.0,DA291C,10010.0,Rapid Transit,line-Red,rapid_transit,Boston,,0,1.0,0,0,Red Line,Boston,Red
2024-09-30,(00:00:00),Assembly,Orange Line,4.0,place-astao,0,0,0,9,0,0,Orange,,Orange Line,1.0,ED8B00,10020.0,Rapid Transit,line-Orange,rapid_transit,Somerville,,0,1.0,0,0,Orange Line,Somerville,Orange
2024-09-30,(00:00:00),Back Bay,Orange Line,29.0,place-bbsta,0,0,0,9,0,0,Orange,,Orange Line,1.0,ED8B00,10020.0,Rapid Transit,line-Orange,rapid_transit,Boston,,1,1.0,0,0,Orange Line,Boston,Orange
2024-09-30,(00:00:00),Beachmont,Blue Line,5.0,place-bmmnl,0,0,0,9,0,0,Blue,,Blue Line,1.0,003DA5,10040.0,Rapid Transit,line-Blue,rapid_transit,Revere,,0,1.0,0,0,Blue Line,Revere,Blue
2024-09-30,(00:00:00),Bowdoin,Blue Line,8.0,place-bomnl,0,0,0,9,0,0,Blue,,Blue Line,1.0,003DA5,10040.0,Rapid Transit,line-Blue,rapid_transit,Boston,,0,1.0,0,0,Blue Line,Boston,Blue
